frame,time,strength,drms_db,dcentroid_hz,chroma_corr,accepted
10574,245.528,0.259546,0.000000,0.000000,1.000000,False
10612,246.410,0.264090,0.000000,0.000000,1.000000,False
10714,248.779,0.228374,0.000000,0.000000,1.000000,False
10828,251.426,0.267914,0.000000,0.000000,1.000000,False
10893,252.935,0.239684,0.000000,0.000000,1.000000,False
10974,254.816,0.237825,0.000000,0.000000,1.000000,False
11002,255.466,0.214542,0.000000,0.000000,1.000000,False
11097,257.672,0.341449,0.000000,0.000000,1.000000,False
11191,259.855,0.278897,0.000000,0.000000,1.000000,False
11389,264.452,0.461332,0.000000,0.000000,1.000000,False
11468,266.286,0.235183,0.000000,0.000000,1.000000,False
11507,267.192,0.274531,0.000000,0.000000,1.000000,False
11543,268.028,0.271383,0.000000,0.000000,1.000000,False
11736,272.509,0.348558,0.000000,0.000000,1.000000,False
11893,276.155,0.256874,0.000000,0.000000,1.000000,False
